ID;Image;Nom;Reference;Prix de base;Prix final;Etat
630;http://passiondecor.net/img/p/0.jpg;Nappe Rectangle Lycra Blanche - Vente;;16.500000;19.8;0
54;http://passiondecor.net/img/p/0.jpg;PODIUM - LOCATION;;125.000000;125;0
950;http://passiondecor.net/img/p/0.jpg;Vase Evas Sur Pied 60cm;;0.000000;0;0
910;http://passiondecor.net/img/p/0.jpg;Top lycra Blanc pour mange debout 80 cm;;2.000000;2.4;0
1333;http://passiondecor.net/img/p/0.jpg;Bougie cierge scintillant n∞5;BCS5;1.666667;2;1
798;http://passiondecor.net/img/p/0.jpg;Couteau One Or;;0.000000;0;0
1144;http://passiondecor.net/img/p/0.jpg;Bougie anniversaire n∞;BA;0.833333;1;0
911;http://passiondecor.net/img/p/0.jpg;Top lycra Bleu roi pour mange debout 80 cm;;2.000000;2.4;0
1059;http://passiondecor.net/img/p/3/8/6/6/3866.jpg;Ballon aluminium n∞7 rose gold;BA7R;2.625000;3.15;1
444;http://passiondecor.net/img/p/1/8/9/8/1898.jpg;X72 BOULES DE FLEURS 20 CM ROUGE - VENTE;;100.000000;120;0
865;http://passiondecor.net/img/p/3/3/8/6/3386.jpg;Rideau Nude 3m x 3m;;30.000000;36;1
387;http://passiondecor.net/img/p/3/3/5/9/3359.jpg;Noeud de chaise satin jaune 20*260cm x 10 pcs;;6.000000;6;1
1308;http://passiondecor.net/img/p/4/5/4/3/4543.jpg;Ballon brillant glossy 30 cm or - 50pcs;BGRO;10.000000;12;1
760;http://passiondecor.net/img/p/2/2/3/4/2234.jpg;Housse de galette Blanche pour chaise NapolÈon;HGR5;1.250000;1.5;1
808;http://passiondecor.net/img/p/2/9/3/6/2936.jpg;Noeud de chaise organza Vert emeraude x 10pcs;;4.000000;4.2;1
1131;http://passiondecor.net/img/p/4/0/5/0/4050.jpg;Bougie anniversaire n∞9 or;BA8O;0.833333;1;1
696;http://passiondecor.net/img/p/1/9/7/3/1973.jpg;Colorant d'eau violet pour vase 250 ml;;2.500000;3;1
1069;http://passiondecor.net/img/p/3/8/8/3/3883.jpg;Gobelet chaton rose et blanc x6 pcs;GCRB01;1.000000;1.2;1
452;http://passiondecor.net/img/p/2/0/6/4/2064.jpg;Chaise royale haute des mariËs Argent - Vente;CRH2;387.500000;420;0
873;http://passiondecor.net/img/p/3/0/8/4/3084.jpg;Nappe velours rouge bordeaux ronde 280cm;NVRD1;25.000000;30;1
395;http://passiondecor.net/img/p/3/3/2/7/3327.jpg;Noeud de chaise satin beige dorÈ 20*260cm x 10 pcs;;6.000000;6;1
1316;http://passiondecor.net/img/p/4/5/7/3/4573.jpg;Ballon 1m bleu pastel - 1 pcs;B100BP;2.083333;2.5;1
